domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
getkit.io,Strong Buy,8.0734,1500,"A two_word_descriptive Strong Buy with a short, action-oriented name on .io, it is priced at the baseline mid-range for its grade and TLD given its clear call to action and solid brandability.",two_word_descriptive,20251218T003354Z,"Short, action-oriented, and highly memorable name with a clear call to action; excellent fit for a toolkit or service platform with the .io extension.",true
aiclear.io,Buy,8.6473,1350,"A coined_tech_brandable Buy with a clear AI-related concept on .io, priced slightly above baseline for its grade and TLD reflecting its strong tech relevance and decent length.",coined_tech_brandable,20251215T033644Z,"Combines 'AI' with 'clear', suggesting clarity in AI solutions; the .io TLD is fitting for a tech-focused brand, though slightly longer than ideal.",true
fundluno.com,Buy,8.6457,1600,"As a coined_tech_brandable Buy on .com with a catchy fintech vibe and good memorability, it is priced in the mid-range for its grade and TLD given the invented but relevant stem.",coined_tech_brandable,20251216T153409Z,"A catchy, invented name blending 'fund' with a unique suffix 'luno', suitable for fintech or investment platforms with good memorability.",true
scalecrux.com,Buy,8.6449,1900,"A coined_tech_brandable Buy with strong keywords 'scale' and 'crux' on .com, priced toward the upper mid-range for its grade and TLD reflecting its versatility and strong brand appeal.",coined_tech_brandable,20251216T152542Z,"Strong, evocative blend implying growth ('scale') and core importance ('crux'), making it versatile for startups or consulting firms.",true
kitdepth.com,Buy,8.6394,1400,"A two_word_descriptive Buy on .com with a clear, brandable name suggesting comprehensive tools, priced at baseline mid-range for its grade and TLD.",two_word_descriptive,20251216T181023Z,"Clear and brandable two-part name suggesting comprehensive tools or resources, suitable for tech or educational products.",true
dragonow.com,Buy,8.639,1500,"A playful coined_tech_brandable Buy on .com with a memorable mythical element, priced moderately within the mid-range for its grade and TLD due to its niche but appealing brandability.",coined_tech_brandable,20251218T004257Z,"Memorable and playful coined name with a mythical element ('dragon') combined with a techy suffix, good for gaming or entertainment brands.",true
fluxcrisp.com,Buy,8.6371,1600,"A dynamic coined_tech_brandable Buy on .com conveying energy and sharpness, priced in the mid-range for its grade and TLD reflecting solid brandability and appeal.",coined_tech_brandable,20251217T032345Z,"Dynamic and fresh-sounding blend that conveys energy and sharpness, fitting for tech, design, or media startups.",true
nowcrisp.com,Buy,8.6339,1600,"A clear and immediate coined_tech_brandable Buy on .com with strong brand clarity, priced mid-range for its grade and TLD given its freshness and broad digital appeal.",coined_tech_brandable,20251218T032436Z,"Clear, immediate, and crisp sounding brand name that works well for modern digital services or products emphasizing freshness and speed.",true
gameluno.com,Buy,8.6327,1500,"As a coined_tech_brandable Buy with a strong .com and a score in the mid-upper range, this invented gaming-related name is priced slightly above baseline for solid brandables given its length and good brand potential.",coined_tech_brandable,20251216T182526Z,"Invented name combining 'game' with a unique suffix, ideal for gaming or entertainment sectors with good brand potential.",true
stackvivid.com,Buy,8.6308,1500,"This coined_tech_brandable Buy name with a descriptive, techy feel and a strong .com TLD is priced slightly above baseline reflecting its good score and clear brandability in the mid-upper range.",coined_tech_brandable,20251216T181023Z,"Strong, descriptive blend suggesting vibrant layers or levels, suitable for tech, software, or creative industries.",true
grideploy.com,Buy,8.6257,1200,"A two_word_descriptive Buy with clear tech relevance and a strong .com, priced at baseline mid-range for its grade and score given its descriptive clarity and length.",two_word_descriptive,20251216T152542Z,"Combines 'grid' and 'deploy' clearly suggesting a tech or infrastructure focus, making it memorable and relevant for software or cloud services with a strong .com TLD.",true
asetact.com,Buy,8.6222,1400,"Short, coined_tech_brandable Buy with a strong .com and a good score, priced slightly above baseline reflecting its techy, dynamic feel and brand versatility.",coined_tech_brandable,20251216T152542Z,"Short, coined blend that sounds techy and dynamic; easy to pronounce and suitable for a variety of startup or tech brands.",true
lunosyn.com,Buy,8.6214,1400,"A short, coined_tech_brandable Buy with a smooth, techy sound and strong .com, priced slightly above baseline for its grade and score to reflect good brand appeal.",coined_tech_brandable,20251218T003354Z,"Invented name with a smooth, techy feel that evokes innovation and could work well for biotech or software sectors; memorable with a strong .com.",true
craftvelo.com,Buy,8.6143,1500,"This coined_tech_brandable Buy blends craftsmanship and speed with a strong .com TLD, priced slightly above baseline for its good score and clear brand potential.",coined_tech_brandable,20251218T004257Z,"A blend suggesting craftsmanship and speed or movement ('velo'), suitable for creative or active lifestyle brands, with good clarity and .com fit.",true
mapcrisp.com,Buy,8.6131,1200,"A two_word_descriptive Buy with clear, sharp mapping connotations and a strong .com, priced at baseline mid-range for its grade and score given its clarity and brandability.",two_word_descriptive,20251217T161743Z,"Clear and descriptive blend implying sharp or precise mapping services, highly brandable and memorable with a strong .com extension.",true
lunokit.com,Buy,8.6108,1400,"Short, catchy coined_tech_brandable Buy with a strong .com and a good score, priced slightly above baseline reflecting its versatility and memorable techy feel.",coined_tech_brandable,20251217T032345Z,"Short, catchy coined name combining 'luno' (moon) and 'kit', evoking innovation and utility, making it versatile and memorable on .com.",true
blockquil.com,Buy,8.6088,1500,"A coined_tech_brandable Buy with blockchain relevance and a strong .com, priced slightly above baseline for its good score and strong fintech/crypto brand appeal.",coined_tech_brandable,20251216T152542Z,"Invented blend suggesting blockchain technology with 'block' and a unique suffix, offering strong memorability and relevance for crypto or fintech.",true
coreluno.com,Buy,8.6061,1400,"Smooth, coined_tech_brandable Buy with a techy feel and strong .com, priced slightly above baseline reflecting good memorability and brand potential at its score.",coined_tech_brandable,20251217T161743Z,"Coreluno is a smooth, coined name with a techy feel and good memorability; the .com TLD fits well for broad brand use.",true
