domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
valor.io,Strong Buy,7.6541,2300,"As a short_premium Strong Buy on .io with a powerful, memorable single-word brand, Valor is priced in the upper part of the .io Strong Buy range, reflecting its strong emotional impact and tech appeal.",short_premium,20251205T004448Z,"Valor is a powerful, single-word brand with strong emotional impact and excellent memorability, perfectly suited for broad tech or fintech applications; the .io TLD enhances its tech credibility.",true
haloava.com,Buy,8.6375,1800,"Haloava is a coined_tech_brandable Buy on .com with a smooth, memorable sound; priced slightly above baseline for its grade and TLD, reflecting its soft tech feel and startup suitability.",coined_tech_brandable,20251204T160740Z,"Combines 'halo' and 'ava' into a smooth, memorable name with a soft tech feel; suitable for a variety of startups though slightly abstract.",true
mirascale.com,Buy,8.6363,1950,"Mirascale blends a soft stem with a strong keyword 'scale' as a coined_tech_brandable Buy on .com, leading to a price slightly above baseline for its grade and TLD due to the keyword bonus.",coined_tech_brandable,20251204T160740Z,"A blend suggesting 'mira' (wonder) and 'scale', evoking growth and innovation; clear and brandable for tech or SaaS ventures.",true
scripthalo.com,Buy,8.63,1400,"As a two_word_descriptive Buy on .com with clear software connotations, Scripthalo is priced at the baseline mid-range for its grade and TLD, reflecting solid clarity and brandability.",two_word_descriptive,20251205T000235Z,"Two-word descriptive name that clearly suggests a software or scripting tool with a positive, protective connotation from 'halo'.",true
vectornexa.com,Buy,8.6296,1750,Vectornexa is a coined_tech_brandable Buy on .com with a strong tech startup vibe; priced slightly above baseline reflecting its clarity and good memorability for its grade and TLD.,coined_tech_brandable,20251205T041712Z,"Invented name combining 'vector' and a futuristic suffix, offering a strong tech startup vibe with good memorability and clarity.",true
agentmodo.com,Buy,8.6249,1700,Agentmodo combines a soft suffix with a professional tone as a coined_tech_brandable Buy on .com; priced slightly above baseline for its grade and TLD reflecting versatility and brand appeal.,coined_tech_brandable,20251205T004448Z,"Blend of 'agent' and 'modo' (mode/way), creating a versatile and professional-sounding brand suitable for services or tech platforms.",true
nexaforge.io,Buy,8.6237,2100,Nexaforge is a coined_tech_brandable Buy on .io with a strong active keyword 'forge' and fitting tech TLD; priced slightly above baseline reflecting its memorability and tech orientation.,coined_tech_brandable,20251203T234723Z,"Nexaforge blends a futuristic feel with the strong, active word 'forge,' making it memorable and suitable for tech or software startups; the .io TLD fits well with this tech-oriented brand.",true
nexasolo.com,Buy,8.6167,1650,Nexasolo is a smooth coined_tech_brandable Buy on .com with broad brand potential; priced slightly above baseline for its grade and TLD given its clean commercial appeal.,coined_tech_brandable,20251205T012753Z,"Nexasolo is a smooth, coined name that suggests uniqueness or solo innovation, with a clean .com enhancing its commercial appeal and broad brand potential.",true
primeava.com,Buy,8.6159,2150,Primeava combines a strong keyword 'prime' with a soft suffix as a coined_tech_brandable Buy on .com; priced above baseline reflecting its premium sound and strong brand potential.,coined_tech_brandable,20251204T161535Z,"Primeava combines 'prime' and a soft, appealing suffix, creating a premium-sounding, versatile brand suitable for various industries with strong .com presence.",true
orahero.com,Buy,8.5955,1650,Orahro is a catchy coined_tech_brandable Buy on .com with positive connotations; priced slightly above baseline for its grade and TLD due to its easy brandability and memorable hero element.,coined_tech_brandable,20251205T000235Z,"Orahro pairs a simple, catchy prefix with 'hero,' evoking positive, heroic connotations that are easy to remember and brand, especially strong on .com.",true
alphaflint.com,Buy,8.588,1800,"As a coined_tech_brandable Buy on .com with a strong metaphor for innovation and a mid-upper score, alphaflint is priced slightly above baseline for its grade and length.",coined_tech_brandable,20251205T041712Z,"Alphaflint merges 'alpha' with 'flint,' suggesting leadership and spark, a strong metaphor for innovation and energy, well suited for a tech or creative brand on .com.",true
oravector.com,Buy,8.5861,1800,"Oravector is a coined_tech_brandable Buy with a techy, precise feel and a mid-upper score, justifying a price slightly above baseline for .com names of this length and grade.",coined_tech_brandable,20251205T004448Z,"Oravector combines a smooth, techy prefix with 'vector,' implying direction and precision, making it a strong, memorable brand for tech or analytics ventures on .com.",true
avahalo.com,Buy,8.5829,1500,"Avahalo is a softer coined_tech_brandable Buy with a mid-upper score and short length, so it is priced in the mid-range for .com names with similar characteristics.",coined_tech_brandable,20251204T161535Z,"Avahalo is a soft, approachable coined name with positive halo imagery, easy to pronounce and memorable, ideal for lifestyle or tech brands on .com.",true
alphaora.com,Buy,8.5814,1700,"Alphaora combines a strong keyword stem with a smooth suffix as a coined_tech_brandable Buy on .com with a mid-upper score, meriting a price slightly above baseline.",coined_tech_brandable,20251205T012753Z,"Alphaora blends 'alpha' with a smooth suffix, suggesting leadership and innovation with a clean, memorable sound, making it highly brandable on .com.",true
solohalo.com,Buy,8.5755,1700,"Solohalo is a catchy, coined_tech_brandable Buy with a memorable combination and mid-upper score, priced slightly above baseline for its .com grade and length.",coined_tech_brandable,20251204T233007Z,"A catchy and unique coined name combining 'solo' and 'halo', which is easy to remember and brandable for a variety of tech or lifestyle products.",true
scriptsolo.com,Buy,8.5727,1200,Scriptsolo is a clear two_word_descriptive Buy on .com with a mid-upper score; it is priced at baseline for this type and grade given its descriptive clarity.,two_word_descriptive,20251205T004448Z,Clear two-part name suggesting a focus on scripts or writing with an emphasis on individuality; suitable for software or creative platforms and well-suited to .com.,true
signalhalo.com,Buy,8.5712,1450,"Signalhalo is a strong two_word_descriptive Buy with a strong keyword 'signal' and a mid-upper score, justifying a modest 1.2x bonus above baseline for .com.",two_word_descriptive,20251205T004448Z,"Strong, descriptive compound that evokes communication or tech signals with a positive 'halo' effect, making it memorable and brandable for tech or security sectors.",true
orafield.com,Buy,8.5712,1700,"Orafield is a coined_tech_brandable Buy with a clean, professional feel and mid-upper score, priced slightly above baseline for its .com grade and length.",coined_tech_brandable,20251204T232539Z,"A clean and professional blend that suggests a tech or agricultural focus; 'ora' adds a modern feel while 'field' grounds it, suitable for a variety of niches.",true
nexamira.com,Buy,8.5629,1600,"Nexamira is a futuristic coined_tech_brandable Buy with a mid-upper score and good memorability, priced slightly above baseline for .com names in this category.",coined_tech_brandable,20251204T025702Z,"Invented, tech-sounding name with a futuristic vibe and good memorability, fitting well for startups in AI, biotech, or software sectors.",true
oraink.com,Buy,8.5563,1500,"Oraink is a short, coined_tech_brandable Buy with a creative and modern feel and a mid-upper score, priced in the mid-range for .com brandables of this type and length.",coined_tech_brandable,20251204T160740Z,"A neat coined name combining 'ora' and 'ink', suggesting creativity or digital content creation, with a modern tech appeal and strong .com presence.",true
