domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
craftaudit.com,Buy,8.65,1400,"A Buy grade two_word_descriptive .com with a strong 8.65 score and clear professional service meaning, priced at baseline for .com reflecting solid brandability and clarity.",two_word_descriptive,20260101T004300Z,"Clear and descriptive two-word name combining 'craft' and 'audit', suitable for a professional service or software in quality control or finance; the .com TLD enhances trust and memorability.",true
getalign.io,Buy,8.6492,1400,"As a Buy grade two_word_descriptive .io with a strong 8.65 score and clear action-oriented brandability, it is priced at baseline for its grade and TLD.",two_word_descriptive,20251231T210805Z,"Action-oriented and easy to remember, 'getalign' suggests alignment or coordination services, well-suited for a productivity or collaboration tool; .io fits the tech startup vibe.",true
aimesh.io,Buy,8.6484,1500,"A Buy coined_tech_brandable .io with a strong 8.65 score, priced slightly above baseline for the grade and TLD due to its tech relevance and catchy blend.",coined_tech_brandable,20251231T181237Z,"A neat blend of 'AI' and 'mesh' that conveys a tech-forward, networked AI concept, making it highly brandable for AI or networking startups; .io is a strong fit.",true
redmesh.ai,Buy,8.6465,1250,"This Buy coined_tech_brandable .ai with a strong 8.65 score is priced conservatively near baseline for .ai, reflecting its catchy but slightly niche appeal.",coined_tech_brandable,20251231T182213Z,"'Redmesh' is a catchy coined name that suggests a dynamic network or platform, with the .ai TLD perfectly matching AI-related ventures; memorable but slightly niche.",true
getcash.io,Buy,8.6453,1350,"A Buy two_word_descriptive .io with a strong 8.65 score and clear fintech meaning, priced at baseline for its TLD and grade to reflect strong clarity and brandability.",two_word_descriptive,20260101T072752Z,"Direct and action-oriented, 'getcash' is very clear for fintech or payment services, and the .io TLD aligns well with tech startups, though slightly generic.",true
usebyte.io,Buy,8.6402,1500,"A Buy coined_tech_brandable .io with a strong 8.64 score, priced slightly above baseline due to its clever techy blend and strong brand appeal.",coined_tech_brandable,20260101T004300Z,"A clever and memorable blend implying digital usage or data, 'usebyte' is techy and brandable with a fitting .io extension for software or tech products.",true
blockred.io,Buy,8.6382,1350,"As a Buy two_word_descriptive .io with a solid 8.64 score and clear blockchain relevance, it is priced at baseline for its grade and TLD reflecting good brandability.",two_word_descriptive,20260101T070339Z,"Combines 'block' and 'red' into a clear, tech-oriented name suitable for blockchain or security products; the .io TLD fits well with tech startups.",true
redalign.io,Buy,8.6382,1900,"As a coined_tech_brandable Buy on .io with a strong score and good brandability, this name is priced slightly above baseline in the mid-to-upper range for tech brandables of this length and clarity.",coined_tech_brandable,20251231T182213Z,"A concise blend suggesting adjustment or optimization with a strong, memorable sound; well-suited for a tech or SaaS brand on the .io TLD.",true
tworigin.com,Buy,8.6382,3000,"A coined_tech_brandable Buy on .com with a strong score and broad appeal; priced above baseline reflecting its .com TLD, length, and versatile brandability.",coined_tech_brandable,20251231T175402Z,"A unique, coined name that hints at 'two origins' or dual sources, making it versatile and brandable with broad appeal on a .com.",true
cacheblue.com,Buy,8.6312,1800,A two_word_descriptive Buy on .com with a strong score and clear tech/cloud relevance; priced at baseline in the mid-range for descriptive .com names of this length.,two_word_descriptive,20260101T004300Z,"Strong, evocative combination suggesting data caching with a calming color, making it memorable and suitable for tech or cloud services.",true
redbuild.io,Buy,8.6269,1400,A two_word_descriptive Buy on .io with a strong score and clear industry relevance; priced at baseline in the mid-range reflecting its descriptive clarity and .io TLD.,two_word_descriptive,20251231T210805Z,"Clear and descriptive for construction or development tech, with a strong, active feel; the .io TLD enhances its tech appeal.",true
cranebyte.com,Buy,8.6245,2200,A coined_tech_brandable Buy on .com with a strong score and memorable tech blend; priced slightly above baseline in the upper-mid range for .com brandables of this length.,coined_tech_brandable,20251231T204844Z,"Inventive blend of 'crane' and 'byte' that feels techy and memorable, suitable for software or hardware brands with a strong .com presence.",true
redcash.io,Buy,8.6241,1500,"A two_word_descriptive Buy on .io with a strong score and fintech relevance; priced at baseline in the mid-range reflecting clarity, length, and .io TLD.",two_word_descriptive,20260101T070339Z,"Clear and memorable two-word name combining 'red' and 'cash', suitable for fintech or payment-related startups; the .io TLD fits well with tech-oriented brands.",true
nextbeam.io,Buy,8.621,1400,A two_word_descriptive Buy on .io with a strong score and forward-looking brand appeal; priced at baseline in the mid-range for descriptive .io names of this length.,two_word_descriptive,20251231T210805Z,"A modern, forward-looking name that combines 'next' and 'beam' suggesting innovation and technology, with a fitting .io TLD for tech startups.",true
bluebyte.io,Buy,8.6206,1900,A coined_tech_brandable Buy on .io with a strong score and catchy tech blend; priced slightly above baseline in the mid-to-upper range for .io brandables.,coined_tech_brandable,20260101T053237Z,"A catchy and techy blend combining 'blue' and 'byte'; the .io TLD complements the tech focus, making it a solid brandable choice.",true
craneai.ai,Buy,8.6192,1200,A niche_vertical Buy on .ai with a strong score and clear AI focus; priced conservatively below baseline reflecting narrower appeal despite the strong .ai TLD fit.,niche_vertical,20251231T210805Z,"Strong niche name combining 'crane' with 'AI', clearly signaling artificial intelligence focus; the .ai TLD perfectly matches the domain’s theme.",true
gofabric.io,Buy,8.6186,1400,A two_word_descriptive Buy on .io with a strong score and action-oriented brandability; priced at baseline in the mid-range for descriptive .io names.,two_word_descriptive,20260101T004300Z,"Memorable and action-oriented name suggesting movement and creation, with a tech-friendly .io TLD that enhances its appeal for startups.",true
