domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
mirascale.com,Buy,8.6363,1800,"As a Buy grade coined_tech_brandable .com with a strong keyword 'scale' and a solid 8.6 score, this name is priced slightly above baseline in the mid-upper range reflecting its tech appeal and length.",coined_tech_brandable,20251126T010701Z,"A smooth, coined name blending 'mira' and 'scale' that is memorable and versatile for tech or SaaS brands.",true
scalealta.com,Buy,8.632,1500,"A Buy grade two_word_descriptive .com with the strong keyword 'scale' and a good score, priced at baseline mid-upper range for clear, descriptive two-word names of this length.",two_word_descriptive,20251125T163544Z,"Combines 'scale' and 'alta' (high) to suggest growth and elevation, making it a strong, brandable name for tech or business services.",true
altahalo.com,Buy,8.6237,1400,"A Buy grade coined_tech_brandable .com with softer stems but a strong 8.6 score, priced in the mid-range reflecting its brandability and length.",coined_tech_brandable,20251126T160125Z,"A catchy blend of 'alta' and 'halo' that feels modern and uplifting, suitable for a variety of tech or lifestyle brands.",true
oramodo.com,Buy,8.6194,1250,"A Buy grade coined_tech_brandable .com with a softer, invented stem and shorter length, priced in the mid-range but on the lower side due to softer keywords.",coined_tech_brandable,20251126T010701Z,"Invented and easy to pronounce, this name has a techy, brandable feel with good potential for diverse startup uses.",true
nexasolo.com,Buy,8.6167,1300,"A Buy grade coined_tech_brandable .com with a smooth, modern feel but softer stems, priced in the mid-range consistent with its brandability and length.",coined_tech_brandable,20251126T010701Z,"A smooth, coined name blending 'nexa' and 'solo' that feels modern and tech-oriented, with good memorability and a strong .com presence.",true
primeava.com,Buy,8.6159,2150,"A Buy grade coined_tech_brandable .com featuring the strong keyword 'prime' and a solid score, priced above baseline in the mid-upper range reflecting premium appeal.",coined_tech_brandable,20251125T022146Z,"Combines 'prime' with a sleek suffix 'ava', creating a premium-sounding, versatile brand name suitable for various industries.",true
fieldsolo.com,Buy,8.6061,1400,"A Buy grade two_word_descriptive .com with clear, descriptive elements and a strong score, priced at baseline mid-upper range for its type and length.",two_word_descriptive,20251125T163544Z,"Clear two-part name suggesting independence or work in the field, making it descriptive and memorable for niche or general use.",true
miramodo.com,Buy,8.6057,1300,"A Buy grade coined_tech_brandable .com with softer stems and a good score, priced in the mid-range reflecting its brandability and length.",coined_tech_brandable,20251125T231930Z,"A pleasant, coined blend with a melodic flow that is easy to remember and brandable across multiple sectors.",true
halomodo.com,Buy,8.6006,1300,"A Buy grade coined_tech_brandable .com with a catchy, inventive feel and softer stems, priced in the mid-range consistent with its score and brand appeal.",coined_tech_brandable,20251125T163544Z,"Inventive and catchy coined name with a techy vibe and good rhythm, suitable for a variety of modern brands.",true
modofield.com,Buy,8.5692,1300,"A Buy grade coined_tech_brandable .com blending 'modo' and 'field', with softer stems and a solid score, priced in the mid-range reflecting its versatility and length.",coined_tech_brandable,20251125T022146Z,"A coined, tech-friendly name blending 'modo' and 'field' that feels modern and versatile, with good memorability and a strong .com presence.",true
haloprime.io,Buy,8.1625,1900,"As a Buy grade coined_tech_brandable with a strong score of 8.16 and a clear, premium feel, haloprime.io is priced slightly above the baseline mid-range for .io domains, reflecting its tech appeal and solid length.",coined_tech_brandable,20251125T163544Z,"Haloprime blends familiar words with a premium feel, evoking excellence and innovation; it is catchy and suitable for tech startups using the .io extension.",true
