domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
aialign.io,Strong Buy,8.5986,2100,"Strong Buy two_word_descriptive with a strong AI keyword and concise length, commanding an upper mid-range price within the .io TLD baseline for clear, brandable tech names.",two_word_descriptive,20251211T153755Z,"Clear, concise, and highly relevant for AI alignment or related technologies, making it very brandable and perfectly suited for the .io domain.",true
hubmark.io,Buy,8.6461,1600,"Buy two_word_descriptive with clear meaning and good tech appeal, priced mid-range within the .io baseline for versatile, brandable names.",two_word_descriptive,20251211T142016Z,"Strong compound suggesting a central point or brand mark, easy to remember and versatile for tech or marketing sectors; .io enhances tech appeal.",true
modcrux.com,Buy,8.6429,1400,"Buy coined_tech_brandable with a short, punchy name and strong .com TLD, priced in the mid-range reflecting good brandability but moderate score.",coined_tech_brandable,20251211T145601Z,"Short, punchy blend implying a modern core or essential element, making it broadly brandable with a solid .com extension.",true
blockvivid.com,Buy,8.6402,1300,"Buy two_word_descriptive with clear blockchain/crypto relevance and a longer length, priced conservatively in the mid to lower range for .com descriptive domains.",two_word_descriptive,20251211T160538Z,"Combines 'block' and 'vivid' to evoke strong, clear blockchain or digital imagery, making it suitable for fintech or crypto sectors with a memorable .com.",true
opsforge.io,Buy,8.6398,1500,"A clear, two_word_descriptive Buy name with good tech relevance and an 8.6 score; priced at the mid-upper range of the .io baseline reflecting its clarity and solid brandability.",two_word_descriptive,20251209T150729Z,"Suggests a platform for operational creation or development, clear and relevant for tech or DevOps audiences with a fitting .io TLD.",true
dragonecho.com,Buy,8.6355,2250,"As a coined_tech_brandable Buy on a strong .com with a mid-upper 8.6 score, this evocative and memorable name is priced slightly above baseline to reflect its broad appeal and premium TLD.",coined_tech_brandable,20251210T075516Z,"Evocative and memorable with fantasy and tech connotations, suitable for gaming, entertainment, or tech brands; .com strengthens its appeal.",true
techgame.io,Buy,8.6339,1500,A direct and descriptive two_word_descriptive Buy with a strong 8.63 score and fitting .io TLD; priced mid-upper range for clarity and alignment with tech/gaming sectors.,two_word_descriptive,20251211T153755Z,"Direct and descriptive, clearly targeting technology and gaming sectors; the .io TLD aligns well with tech startups.",true
graingen.com,Buy,8.632,1800,A coined_tech_brandable Buy with a nice blend of keywords and a strong .com TLD; priced slightly above baseline reflecting its versatile and brandable nature with an 8.63 score.,coined_tech_brandable,20251211T143905Z,"Blend of 'grain' and 'gen' suggests innovation or generation related to agriculture or data, versatile and brandable with a strong .com.",true
stackvivid.com,Buy,8.6308,1800,Memorable coined_tech_brandable Buy on .com with a strong 8.63 score; priced above baseline for broad tech applicability and strong brand potential.,coined_tech_brandable,20251211T161148Z,"Memorable blend implying vibrant layers or technology stacks, clear and brandable with broad tech applicability and a strong .com presence.",true
blockarc.io,Buy,7.9814,1100,A coined_tech_brandable Buy with a lower 7.98 score on .io; priced conservatively near mid-range reflecting niche blockchain/tech appeal and moderate brandability.,coined_tech_brandable,20251211T160538Z,"Blend of 'block' and 'arc' evokes blockchain or tech architecture themes, making it a brandable and modern name with good memorability on .io.",true
modcache.io,Buy,7.9607,1100,"Concise, techy coined_tech_brandable Buy with a 7.96 score on .io; priced conservatively near mid-range considering its specific tech niche and moderate score.",coined_tech_brandable,20251211T145601Z,"A concise, tech-sounding blend implying modular caching or storage solutions, making it memorable and fitting for a tech-oriented .io domain.",true
shiftu.io,Buy,7.9564,1000,"Short, catchy coined_tech_brandable Buy with a 7.96 score on .io; priced toward the lower-mid range reflecting its modern feel but slightly niche appeal.",coined_tech_brandable,20251211T135055Z,"Short, catchy, and modern coined name that suggests movement or change, suitable for a broad range of tech startups on the .io extension.",true
neuronkit.ai,Buy,7.888,1400,A clear and relevant two_word_descriptive Buy on .ai with a 7.89 score; priced mid-range reflecting its strong AI toolkit relevance and solid brandability.,two_word_descriptive,20251211T141520Z,"Clear and descriptive two-part name suggesting a toolkit for neural or AI applications, highly relevant and brandable on the .ai TLD.",true
corei.ai,Buy,7.8519,1900,"Short_premium Buy with a strong tech keyword 'core' and a 7.85 score on .ai; priced above baseline reflecting its short length, premium feel, and strong brand potential.",short_premium,20251210T074558Z,"Short and memorable with a techy feel; 'core' implies central importance, making it versatile for AI or tech products. The .ai TLD suits its tech focus well.",true
hubprompt.ai,7.819,Buy,"Combines 'hub' and 'prompt' to suggest a central place for AI interactions or commands, making it clear and brandable for AI tools. The .ai TLD is very fitting.",1400,"As a two_word_descriptive Buy with a clear, brandable concept and a fitting .ai TLD, this domain is priced at the mid-range for its grade and TLD, reflecting solid appeal and medium length.",two_word_descriptive,true,20251211T155149Z
scalebyte.ai,7.8139,Buy,"Strong two-word descriptive blend implying scalable data or computing power, very relevant for AI or tech startups. The .ai extension enhances its tech appeal.",1400,"This two_word_descriptive Buy combines strong tech keywords with a relevant .ai TLD, justifying a mid-range price within the .ai Buy band for a 9-character name.",two_word_descriptive,true,20251211T155149Z
opsneuron.ai,7.8115,Buy,"Suggests operational intelligence or AI-driven processes with 'ops' and 'neuron', making it relevant and brandable in AI and tech sectors. The .ai TLD aligns perfectly.",1400,"With clear tech relevance and a strong two_word_descriptive Buy grade, this 9-character .ai domain is priced mid-range, balancing brandability and length.",two_word_descriptive,true,20251211T153755Z
neomark.ai,7.7341,Buy,"Clear coined name blending 'neo' (new) and 'mark', suggesting innovation and branding, suitable for AI or marketing tech; well matched with the .ai extension.",1200,"A coined_tech_brandable Buy with a concise 7-character length and a .ai TLD, priced slightly above baseline to reflect its strong brand potential and tech appeal.",coined_tech_brandable,true,20251211T161148Z
payflint.ai,7.7071,Buy,"A strong, concise blend that evokes payment and reliability, suitable for fintech or payment AI solutions; the .ai TLD aligns well with the tech focus.",1400,Strong fintech connotations and a concise coined_tech_brandable Buy with a .ai TLD justify a price slightly above baseline within the .ai Buy range.,coined_tech_brandable,true,20251211T143905Z
