domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
mirascale.com,Buy,8.6363,5600,"As a coined_tech_brandable Buy on a strong .com with a medium length of 9 characters, this name merits a slightly above baseline price within the .com Buy range, reflecting its good brandability and tech appeal.",coined_tech_brandable,20251126T010701Z,"A coined, tech-sounding name that blends 'mira' and 'scale', offering good brandability and memorability with a strong .com presence.",true
oramodo.com,Buy,8.6194,6400,"This short (7 chars), coined_tech_brandable Buy .com has strong brand appeal and memorability, justifying a price toward the higher end of the .com Buy range given its premium length and clear tech style.",coined_tech_brandable,20251126T010701Z,"A smooth, coined name with a modern tech feel, easy to pronounce and recall, fitting well with a .com for startups or tech brands.",true
fieldsolo.com,Buy,8.6061,4800,"A two_word_descriptive Buy on .com with medium length, priced at baseline for its grade and TLD, reflecting clear meaning and good brand potential without premium boosts.",two_word_descriptive,20251125T163544Z,Two-word descriptive blend that implies independence or specialization in outdoor or field-related services; clear and straightforward with good brand potential.,true
primealta.com,Buy,8.6029,5600,"A strong-sounding coined_tech_brandable Buy .com with medium length, priced slightly above baseline to reflect its premium feel and clear brandability within the .com Buy range.",coined_tech_brandable,20251126T160125Z,"Strong, premium-sounding coined name combining 'prime' and 'alta' (meaning high), conveying quality and excellence; clear and brandable.",true
signalmira.com,Buy,8.6014,4800,"Two_word_descriptive Buy on .com with 10 characters, priced at baseline for its grade and TLD due to clear meaning and solid brand potential without additional premium.",two_word_descriptive,20251126T010701Z,Two-part name combining 'signal' and 'mira' that suggests communication or clarity; clear and suitable for tech or telecom niches.,true
altafield.io,Buy,8.3828,2400,"A coined_tech_brandable Buy on .io, medium length, priced slightly above baseline within the .io Buy range to reflect its tech appeal and brandability for startups.",coined_tech_brandable,20251125T231930Z,"A coined name combining 'alta' (high) and 'field', suggesting innovation or tech focus, well-suited for the .io startup niche.",true
usebright.io,Buy,8.1862,1800,"Two_word_descriptive Buy on .io with medium length, priced at baseline for its grade and TLD, reflecting clear meaning and good brand potential.",two_word_descriptive,20251125T171526Z,"Two-word descriptive feel with a call to action and positive connotation, suitable for tech or SaaS products using the .io TLD.",true
zenbright.io,Buy,8.1174,2100,"A coined_tech_brandable Buy .io with medium length, priced slightly above baseline to capture its versatile, memorable brand appeal in wellness and tech sectors.",coined_tech_brandable,20251125T022146Z,"Marries 'zen' and 'bright' for a calm yet innovative vibe, making it a versatile and memorable brand name in wellness or tech; .io is a fitting TLD.",true
peakmodo.io,Buy,7.9161,2100,"Coined_tech_brandable Buy on .io with a shorter length, priced slightly above baseline to reflect its strong tech startup fit and memorable nature.",coined_tech_brandable,20251125T171526Z,"Combines 'peak' and a techy-sounding suffix 'modo', making it memorable and suitable for a tech startup or SaaS brand with a focus on performance or optimization. The .io TLD fits well with the tech vibe.",true
usepath.io,Buy,7.6145,1500,"Two_word_descriptive Buy on .io, short length, priced at baseline for its grade and TLD, reflecting clear meaning and solid brand potential suitable for SaaS or UX tools.",two_word_descriptive,20251125T171526Z,"Clear two-word descriptive name implying a user journey or workflow, very suitable for SaaS or UX tools; the .io TLD complements its tech focus.",true
getzen.io,Buy,7.3507,2400,"As a Buy grade coined_tech_brandable with a short length and .io TLD, this domain is priced slightly above the baseline midpoint for .io names, reflecting its catchy, dynamic feel and broad tech appeal.",coined_tech_brandable,20251125T163544Z,"Short, catchy, and easy to remember with a dynamic feel; 'get' prefix adds actionability, suitable for a variety of tech or service products.",true
goalta.io,Buy,7.2758,2300,"This Buy grade, short coined_tech_brandable .io domain is memorable and motivational; priced near the midpoint of the .io range to reflect solid brandability and startup suitability.",coined_tech_brandable,20251125T163544Z,"Memorable and motivational, combining 'go' and 'alta' (high), suggesting ambition and progress, well-suited for startups or apps.",true
novaora.ai,Buy,7.1995,2800,"A Buy grade, short coined_tech_brandable .ai domain evoking innovation and new beginnings; priced above baseline midpoint to reflect strong brand potential and fitting TLD.",coined_tech_brandable,20251125T231930Z,"Evokes innovation and new beginnings with 'nova' and a sleek ending 'ora', making it a strong, brandable name for AI or tech ventures.",true
peakalta.ai,Buy,7.1776,2100,"As a Buy grade two_word_descriptive .ai domain with clear meaning, this name is priced at baseline midpoint for .ai reflecting solid clarity and professional appeal.",two_word_descriptive,20251125T171526Z,"Clear combination of 'peak' and 'alta' (high), suggesting top-level performance or quality, fitting well for AI or tech brands.",true
