domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
solidrisk.com,Strong Buy,8.5575,3750,"A two_word_descriptive Strong Buy .com with a high score and strong keywords 'solid' and 'risk', priced in the upper-mid range reflecting its clear commercial appeal and premium TLD.",two_word_descriptive,20260129T135820Z,"Short, clear, and highly brandable combining 'solid' and 'risk', excellent for fintech or insurance sectors with strong commercial potential and a premium .com.",true
provenrail.com,Buy,8.6496,1400,"A two_word_descriptive Buy .com with a high score but a Buy grade, priced at baseline for .com two-word descriptives reflecting solid brandability and professional appeal.",two_word_descriptive,20260129T135820Z,"Clear two-word descriptive name implying reliability and structure, suitable for logistics or construction sectors; the .com TLD strengthens its professional appeal.",true
handkernel.com,Buy,8.648,1500,"A coined_tech_brandable Buy .com with a strong score and unique blend, priced slightly above baseline for its grade and type given its memorable and versatile nature.",coined_tech_brandable,20260126T202103Z,"Unique blend suggesting a core or essential element with a human touch, memorable and versatile for tech or creative startups with a .com TLD.",true
smartalign.io,Buy,8.6422,1500,"A two_word_descriptive Buy .io with a strong score, priced mid-range for .io baseline reflecting clear descriptive appeal and good brandability.",two_word_descriptive,20260126T202705Z,"Descriptive and straightforward, implying intelligent alignment solutions, well-suited for a tech or SaaS brand using the popular .io TLD.",true
kernelayer.com,Buy,8.6414,1500,"A coined_tech_brandable Buy .com with a strong score, priced slightly above baseline reflecting its inventive compound and solid brand appeal.",coined_tech_brandable,20260129T021213Z,"Inventive compound that suggests foundational technology layers, memorable and fitting for tech or software companies with a strong .com presence.",true
bountyedge.com,Buy,8.6398,1400,"A two_word_descriptive Buy .com with a strong score, priced at baseline for its grade and TLD, reflecting clear commercial appeal and solid brandability.",two_word_descriptive,20260128T193705Z,"Dynamic and evocative two-word name implying advantage and reward, suitable for fintech, gaming, or marketing platforms with a solid .com TLD.",true
nextopen.io,Buy,8.6355,1400,"A two_word_descriptive Buy .io with a strong score, priced mid-range for .io baseline reflecting clear, forward-looking brand appeal.",two_word_descriptive,20260128T193705Z,"Forward-looking and clear two-word name implying innovation and accessibility, well-suited for tech startups leveraging the .io TLD.",true
agentforge.io,Buy,8.6312,1400,"A two_word_descriptive Buy .io with a strong score, priced mid-range for .io baseline reflecting strong, action-oriented brand appeal and clarity.",two_word_descriptive,20260126T200726Z,"Strong, action-oriented name that evokes creation and agency, ideal for AI, automation, or software platforms with a modern .io extension.",true
localalign.com,Buy,8.628,1350,"As a two_word_descriptive Buy grade .com with a strong, clear brand and a mid-length 10 characters, this name is priced at the baseline mid-upper range for its category and TLD.",two_word_descriptive,20260126T210733Z,"Clear and descriptive two-word name implying local focus and alignment, which suits a variety of services; the .com TLD enhances credibility and memorability.",true
railtrue.io,Buy,8.6245,1200,This niche_vertical Buy .io domain has solid appeal in a specific sector; pricing is conservative but fair within the mid-upper range for .io names of this grade and length.,niche_vertical,20260126T203424Z,Strong niche appeal for rail or transport sectors with a trustworthy tone; the .io TLD fits well for tech or startup applications in this vertical.,true
coreproven.com,Buy,8.6233,1450,"A strong, professional two_word_descriptive Buy grade .com with a clear, trustworthy brand; priced at baseline mid-upper range for its type and TLD.",two_word_descriptive,20260126T203424Z,"A solid, professional-sounding name combining 'core' and 'proven' that suggests reliability and expertise, suitable for B2B or tech services.",true
policyai.io,Buy,8.6194,1100,Clear two_word_descriptive Buy .io domain with AI relevance; priced at baseline mid range for its grade and TLD given its descriptive clarity and length.,two_word_descriptive,20260126T210733Z,"Clear and descriptive two-part name targeting AI-driven policy or insurance tech, with a fitting .io extension for AI startups.",true
solidprime.io,Buy,8.6175,1500,A coined_tech_brandable Buy .io name with a strong keyword 'prime' boosting value; priced slightly above baseline in the mid-upper range for .io tech brandables.,coined_tech_brandable,20260126T202705Z,"Strong, confident, and professional sounding name with broad tech appeal; the .io TLD supports startup and software branding well.",true
baseproven.com,Buy,8.6163,1400,Two_word_descriptive Buy .com with solid brand clarity and professional tone; priced at baseline mid-upper range for its grade and length.,two_word_descriptive,20260128T193157Z,"Clear and trustworthy two-word name that suggests a solid foundation and proven results, ideal for professional or tech services.",true
whiteforge.io,Buy,8.6124,1400,"Coigned_tech_brandable Buy .io with evocative, strong branding; priced slightly above baseline in the mid-upper range for .io tech brandables of this grade and length.",coined_tech_brandable,20260128T234701Z,"Evocative and strong brand name combining purity and craftsmanship, well-suited for creative or tech startups using the .io TLD.",true
baseopen.io,Buy,8.6111,1050,Clear two_word_descriptive Buy .io domain with straightforward branding; priced at baseline mid range for its grade and TLD given its short length.,two_word_descriptive,20260126T210733Z,Clear and straightforward with 'base' and 'open' suggesting a foundational or open platform; well-suited for tech startups using .io.,true
nextrail.ai,Buy,8.6096,1250,Two_word_descriptive Buy .ai domain with strong niche and AI relevance; priced at baseline mid-upper range for its grade and TLD.,two_word_descriptive,20260128T193705Z,"Strong descriptive name implying innovation in rail or tracking technology, fitting well with the AI-focused .ai TLD.",true
openrail.io,Buy,8.6029,1050,Clear two_word_descriptive Buy .io domain with niche appeal; priced at baseline mid range for its grade and TLD given its short length.,two_word_descriptive,20260128T193157Z,"Clear and descriptive, conveying openness and rail-related tech, which aligns well with the .io domain popular among tech projects.",true
