domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
solidrisk.com,Strong Buy,8.5575,5625,"A Strong Buy two_word_descriptive .com with strong, clear keywords and a premium TLD, priced near the high end of the .com range with the grade multiplier and length neutral bump.",two_word_descriptive,20260115T134047Z,"Memorable, clear, and authoritative two-word name ideal for risk management or insurance sectors, with a premium .com TLD enhancing credibility.",true
planelayer.com,Buy,8.6484,3750,"A Buy grade two_word_descriptive .com with a solid score and clear brandability, priced in the mid-to-upper range of the .com baseline reflecting its length and clarity.",two_word_descriptive,20260115T134047Z,"Descriptive and clear for tech or design applications involving layers or planes, with a solid .com TLD enhancing credibility.",true
riskedge.io,Buy,8.6473,2100,"A Buy two_word_descriptive .io name with strong keywords and a good score, priced slightly above midpoint of the .io baseline for its grade and length.",two_word_descriptive,20260114T223923Z,"Strong, clear name suggesting risk management or analytics, highly suitable for fintech or insurtech with the .io extension.",true
verifyrail.com,Buy,8.6473,3750,"A Buy grade two_word_descriptive .com domain with clear brandability and a solid score, priced mid-to-upper range of the .com baseline given its length and clarity.",two_word_descriptive,20260114T182633Z,"Clear and descriptive for verification or compliance platforms, with a solid .com TLD enhancing trust and brandability.",true
goplane.io,Buy,8.6461,1800,"A Buy grade two_word_descriptive .io domain with a short length and clear action-oriented brandability, priced in the mid-range of the .io baseline for its grade.",two_word_descriptive,20260115T134047Z,"Short, action-oriented, and memorable; suggests travel or aviation tech and fits well with the popular .io TLD.",true
blackai.io,Buy,8.6363,1800,"A Buy two_word_descriptive .io domain with strong, relevant keywords and a good score, priced mid-range within the .io baseline for its grade and length.",two_word_descriptive,20260114T182633Z,"Strong, concise, and memorable blend of 'black' and 'AI' with a fitting .io TLD, ideal for AI-focused tech ventures.",true
bluetrue.io,Buy,8.6279,1675,"A Buy grade two_word_descriptive .io domain with a positive, memorable brand feel and solid score, priced slightly below midpoint of the .io baseline for its grade.",two_word_descriptive,20260114T163823Z,Memorable and positive sounding with a clear two-word structure; well-suited for tech or lifestyle brands using the .io TLD.,true
newbase.io,Buy,8.6265,1800,"A Buy two_word_descriptive .io domain with a short length and fresh, clear brand appeal, priced mid-range of the .io baseline for its grade and length.",two_word_descriptive,20260115T134047Z,"Short, easy to remember, and suggests a fresh foundation, making it broadly appealing for tech startups with the .io TLD.",true
newalign.io,Buy,8.624,1500,"As a Buy graded two_word_descriptive domain with a strong score of 8.624, newalign.io is priced at the mid-to-upper range of the .io baseline reflecting its clear, relevant brandability and medium length.",two_word_descriptive,20260114T163823Z,Suggests alignment or synchronization with a fresh approach; clear and suitable for collaboration or productivity tools.,true
bluebyte.io,Buy,8.6206,1800,Bluebyte.io is a Buy graded coined_tech_brandable with a strong 8.62 score; it commands a price slightly above baseline for .io reflecting its memorable tech vibe and solid brand appeal.,coined_tech_brandable,20260113T183621Z,"Strong tech vibe combining 'blue' and 'byte', memorable and fitting for software or digital services.",true
auditsolid.com,Buy,8.6194,1350,"With a Buy grade and an 8.619 score, auditsolid.com is a clear, professional two_word_descriptive .com domain priced at baseline mid-range for its grade and length.",two_word_descriptive,20260114T133833Z,"Clear and descriptive for audit or compliance services, with a trustworthy and professional tone.",true
policyai.io,Buy,8.6193,1500,"Policyai.io is a Buy two_word_descriptive with a strong 8.619 score, priced at mid-to-upper range for .io domains due to its clarity and relevance in AI niche.",two_word_descriptive,20260114T193811Z,"Directly communicates AI-driven policy solutions, highly relevant and clear for niche AI applications.",true
corebounty.com,Buy,8.6182,1350,"Corebounty.com, a Buy two_word_descriptive with an 8.618 score, is priced at baseline mid-range for .com reflecting its memorable, evocative brand potential and solid length.",two_word_descriptive,20260114T193811Z,"Memorable and evocative name suggesting central rewards or incentives, suitable for fintech or gaming.",true
auditwhite.com,Buy,8.6182,1350,"Auditwhite.com is a Buy two_word_descriptive .com with a strong 8.618 score; priced at baseline mid-range for its clear, trustworthy brand appeal and length.",two_word_descriptive,20260114T163823Z,"Clear and professional, combining audit with 'white' implying transparency and trustworthiness.",true
solidopen.com,Buy,8.6167,1350,"Solidopen.com, a Buy two_word_descriptive with an 8.617 score, is priced at baseline mid-range for .com reflecting its clear, versatile brandability and solid length.",two_word_descriptive,20260114T030149Z,"Strong, straightforward two-word name that conveys reliability and openness, making it versatile and brandable for tech or open-source platforms.",true
openbeam.io,Buy,8.6159,1500,"Openbeam.io is a Buy two_word_descriptive with an 8.616 score, priced at mid-to-upper range for .io domains due to its short length, clarity, and tech-friendly TLD.",two_word_descriptive,20260113T183621Z,"Short and evocative name combining 'open' and 'beam', suggesting clarity and transparency; the .io TLD fits well with tech startups and developer tools.",true
goalign.io,Buy,8.6131,1600,Goalign.io is a Buy two_word_descriptive with a strong 8.613 score and short length; priced toward the higher end of the .io range reflecting its action-oriented clarity and tech appeal.,two_word_descriptive,20260114T143227Z,"Action-oriented, clear two-word name that implies focus and alignment, ideal for productivity or collaboration tools; the .io TLD enhances its tech appeal.",true
baseopen.io,Buy,8.61,1500,"Baseopen.io, a Buy two_word_descriptive with an 8.61 score, is priced at mid-to-upper .io baseline reflecting its clear, descriptive brandability and popular TLD.",two_word_descriptive,20260114T030149Z,"Clear and descriptive two-word name implying an open platform or foundation, with a popular .io TLD favored by tech startups.",true
